"vessel_names";"volume";"product";"group";"family";"start_date";"end_date";"origin";"destination"
"Ridgebury Cindy A";1042441;"crude";"crude/co";"Dirty";"2020-07-18";NA;"Russian Federation";NA
"Gamalama";49708;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-06-14";"2019-06-19";"Algeria";"Canada"
"Bit Okland";29876;"crude";"crude/co";"Dirty";"2017-12-21";"2017-12-25";"Norway";"United Kingdom"
"Supreme";232207;"crude";"crude/co";"Dirty";"2020-02-02";"2020-04-05";"United States";"Netherlands"
"Aventine";716019;"crude";"crude/co";"Dirty";"2018-12-05";"2019-01-18";"Saudi Arabia";"Belgium"
"Izumo Princess";728504;NA;"Kero/Jet";"Middle Distillates";"2016-08-09";"2016-08-25";"India";"India"
"Decathlon";121770;"crude";"crude/co";"Dirty";"2016-04-03";NA;"Kuwait";NA
"Seasprat";154219;"FO";"Fuel Oils";"DPP";"2015-03-16";"2015-03-28";"Venezuela";"India"
"Texas Voyager";5855;"FO";"Fuel Oils";"DPP";"2018-04-14";"2018-04-19";"India";"Bangladesh"
"Kriti Vigor";129180;"FO";"Fuel Oils";"DPP";"2016-04-09";NA;"Qatar";NA
"Grena Knutsen";551823;"crude";"crude/co";"Dirty";"2019-12-31";"2020-01-02";"Oman";"Tanzania"
"Seoul Spirit";75043;"crude";"crude/co";"Dirty";"2016-02-22";"2016-03-08";"Spain";"Spain"
"Ohio";527972;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-09-06";NA;"Thailand";NA
"Nissho Maru";29367;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-01-17";"2018-02-06";"Brazil";"Brazil"
"Bai Chi";75779;"FO";"Fuel Oils";"DPP";"2019-08-25";"2019-08-29";"Belgium";"Togo"
"Yoselin";718642;"crude";"crude/co";"Dirty";"2018-08-16";NA;"United States";NA
"Stavanger Blossom";298828;"FO";"Fuel Oils";"DPP";"2017-07-14";"2017-08-09";"Cyprus";"Libya"
"Global Venus";179058;"FO";"Fuel Oils";"DPP";"2019-04-08";"2019-05-23";"Saudi Arabia";"United Kingdom"
"Hafnia Soya";170378;"crude";"crude/co";"Dirty";"2018-10-30";"2018-11-25";"Indonesia";"Indonesia"
"Navios Buena Suerte";473402;"crude";"crude/co";"Dirty";"2016-12-30";"2017-01-16";"Singapore Republic";"Indonesia"
"Kidan";250718;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2017-04-22";"2017-04-29";"Mexico";"India"
"Mastera";500127;NA;"Gasoline/Naphtha";"Light Ends";"2016-05-19";"2016-05-29";"Indonesia";"Bangladesh"
"Nave Pulsar";31845;"Jet";"Kero/Jet";"Middle Distillates";"2017-05-14";NA;"Saudi Arabia";NA
"Zeus";33216;NA;"Gasoline/Naphtha";"Light Ends";"2020-06-07";"2020-06-15";"Qatar";"Japan"
"Drepanos";691136;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-03-31";NA;"Canada";NA
"Markos I";37996;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-08-13";"2019-08-26";"China";"Hong Kong"
"Dan Sabia";69798;NA;"Kero/Jet";"Middle Distillates";"2018-06-01";"2018-06-08";"Saudi Arabia";"Saudi Arabia"
"Danubia";25;"crude";"crude/co";"Dirty";"2018-01-15";NA;"Singapore Republic";NA
"City Of Tokyo";100957;"crude";"crude/co";"Dirty";"2019-05-06";NA;"Brazil";NA
"Ns Laguna";599997;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2015-12-13";"2016-01-11";"Venezuela";"Curacao"
"Maisa";2011053;"FO";"Fuel Oils";"DPP";"2016-07-19";"2016-09-05";"India";"Democratic Republic of the Congo"
"Chemtrans Polaris";511996;NA;"Fuel Oils";"DPP";"2019-08-25";"2019-09-15";"United States";"Mexico"
"Tanker Victory";270738;"crude";"crude/co";"Dirty";"2014-03-22";"2014-03-25";"Nigeria";"Spain"
"Asprouda";765658;"FO";"Fuel Oils";"DPP";"2018-05-21";"2018-06-11";"Iraq";"United States"
"Nordic Mistral";390987;NA;"Blendings";"Light Ends";"2019-05-17";"2019-06-12";"Angola";"Angola"
"Eagle Bergen";463326;"FO";"Fuel Oils";"DPP";"2017-06-07";"2017-07-02";"Saudi Arabia";"India"
"Rita M";991708;"FO";"Fuel Oils";"DPP";"2013-02-28";"2013-03-09";"Singapore Republic";"Bangladesh"
"Orwell";400956;"RFO";"Fuel Oils";"DPP";"2018-04-14";"2018-05-27";"Saudi Arabia";"United States"
"Gori";314924;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-06-02";"2013-06-05";"India";"France"
"Mare Doricum";49821;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-02-13";"2019-03-05";"Iraq";"Iraq"
"Rio Grande";1015464;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-03-07";"2013-03-21";"United States";"Nicaragua"
"The Diplomat";113870;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-09-25";"2013-10-21";"Brazil";"China"
"Fpmc 24";426323;NA;"Gasoline/Naphtha";"Light Ends";"2013-04-06";"2013-04-29";"Qatar";"Japan"
"Stellar Lilac";327718;"crude";"crude/co";"Dirty";"2015-10-09";"2015-10-22";"China";"Malaysia"
"Cap Guillaume";489359;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2016-11-23";NA;"United States";NA
"Teseo";111361;"crude";"crude/co";"Dirty";"2020-06-23";NA;"Algeria";NA
"Takahashi";528947;"crude";"crude/co";"Dirty";"2017-01-08";"2017-01-29";"Russian Federation";"Japan"
"Bull Kalimantan";806731;"FO";"Fuel Oils";"DPP";"2019-03-25";"2019-04-14";"United Arab Emirates";"Japan"
"Al Mukhtarah";87120;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-06-03";"2019-06-09";"United Kingdom";"Netherlands"
"New Inspiration";760337;"FO";"Fuel Oils";"DPP";"2019-11-20";"2019-11-22";"Belgium";"Nigeria"
"Grena Knutsen";422052;NA;"crude/co";"Dirty";"2017-06-02";"2017-07-23";"Belgium";"Lebanon"
"Falcon Pride";171611;"crude";"crude/co";"Dirty";"2019-08-19";"2019-08-26";"Kuwait";"United States"
"Romina";734398;"crude";"crude/co";"Dirty";"2017-07-06";"2017-08-04";"Argentina";"Argentina"
"Fpmc 25";761004;"Blending Comps";"Blendings";"Light Ends";"2019-01-03";"2019-01-13";"Netherlands";"Nigeria"
"Donegal Spirit";599997;"FO";"Fuel Oils";"DPP";"2018-06-06";"2018-06-22";"Estonia";"Puerto Rico"
"Melodia";1668932;"FO";"Fuel Oils";"DPP";"2016-03-22";"2016-04-02";"Venezuela";"United States"
"Sunrise";44682;"crude";"crude/co";"Dirty";"2018-02-16";"2018-02-19";"Argentina";"Argentina"
"Ms Sophie";346694;"crude";"crude/co";"Dirty";"2017-11-01";"2017-11-07";"India";"United Arab Emirates"
"Sanmar Soprano";44387;"crude";"crude/co";"Dirty";"2018-05-12";"2018-06-04";"Libya";"France"
"Rio Caroni";346015;NA;"Gasoline/Naphtha";"Light Ends";"2019-04-02";"2019-04-06";"Russian Federation";"Ecuador"
"Atlantic Mate";100901;"FO";"Fuel Oils";"DPP";"2018-05-28";NA;"Ireland";NA
"Coshonour Lake";730001;NA;"Blendings";"Light Ends";"2018-01-16";"2018-02-15";"United States";"Mexico"
"Lian Ping Hu";25869;"crude";"crude/co";"Dirty";"2019-05-23";"2019-06-02";"United Arab Emirates";"Malaysia"
"Rimthan";666002;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-12-19";"2019-01-18";"India";"Australia"
"Leonidas";190260;"crude";"crude/co";"Dirty";"2018-11-29";"2018-12-05";"Iraq";"United Arab Emirates"
"Lady Mariella";139860;"crude";"crude/co";"Dirty";"2019-11-05";"2019-11-26";"Canada";"United States"
"Stena Suede";224187;"crude";"crude/co";"Dirty";"2018-02-28";"2018-05-09";"Cameroon";"Cameroon"
"Kazusa";267713;"crude";"crude/co";"Dirty";"2019-07-03";"2019-07-15";"United States";"Mexico"
"Marinor";1108264;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-04-05";"2020-04-06";"Republic of the Congo";"China"
"Primorsky Prospect";604645;"VGO";"Fuel Oils";"DPP";"2015-09-17";"2015-10-07";"Netherlands";"United Kingdom"
"Nasca";52337;"crude";"crude/co";"Dirty";"2019-07-14";"2019-07-15";"Vietnam";"Vietnam"
"Gamalama";730007;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-01-26";"2017-01-29";"Saudi Arabia";"China"
"Bright Pioneer";361135;"FO";"Fuel Oils";"DPP";"2019-03-26";"2019-03-29";"Italy";"Italy"
"C. Vision";1102584;"crude";"crude/co";"Dirty";"2017-01-22";"2017-02-10";"India";"Oman"
"Maria Bottiglieri";127029;"crude";"crude/co";"Dirty";"2019-07-12";NA;"India";NA
"Sake";37996;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-08-06";"2019-09-07";"Kuwait";"Taiwan"
"New Activity";1911303;NA;"Gasoil/Diesel";"Middle Distillates";"2019-05-14";"2019-05-14";"Saudi Arabia";"India"
"Lubov";1004941;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2017-07-25";NA;"Belgium";NA
"Aston";50224;"crude";"crude/co";"Dirty";"2017-02-21";"2017-02-24";"Russian Federation";"Netherlands"
"Wafrah";124399;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2020-03-31";"2020-05-08";"Togo";"Togo"
"Jo Pinari";119978;"crude";"crude/co";"Dirty";"2014-09-12";"2014-09-27";"Trinidad and Tobago";"Netherlands"
"Paramount Hanover";762211;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-02-17";"2018-02-28";"Russian Federation";"Japan"
"Bw Orinoco";500146;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2015-08-12";"2015-08-20";"Malaysia";"Malaysia"
"Angel No. 6";295356;NA;"Gasoline/Naphtha";"Light Ends";"2018-11-29";"2018-12-06";"Belgium";"Republic of the Congo"
"Beryl";950000;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2013-09-06";"2013-09-11";"China";"Hong Kong"
"Iris";261234;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-07-18";"2019-07-22";"Mexico";"Spain"
"Kun Lun San";64860;"crude";"crude/co";"Dirty";"2017-10-22";"2017-11-15";"Russian Federation";"Greece"
"Pink Coral";170504;"crude";"crude/co";"Dirty";"2016-07-03";"2016-07-06";"China";"South Korea"
"Dubai Harmony";347279;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-07-10";"2020-08-21";"Canada";"United States"
"Scott Spirit";219262;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2020-04-24";"2020-04-29";"United States";"Japan"
"Andre Reboucas";40361;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2014-01-29";"2014-01-31";"Malaysia";"Australia"
"Hafnia Lotte";722152;"crude";"crude/co";"Dirty";"2014-06-06";"2014-06-21";"United Arab Emirates";"China"
"Stena Penguin";386282;"FO";"Fuel Oils";"DPP";"2020-06-16";"2020-06-29";"Saudi Arabia";"Singapore Republic"
"Tonos";26348;"crude";"crude/co";"Dirty";"2016-04-27";"2016-05-03";"Singapore Republic";"Singapore Republic"
"Seamerit";641409;"Blending Comps";"Blendings";"Light Ends";"2018-02-10";"2018-02-12";"Saudi Arabia";"India"
"Bunga Kasturi Lima";11164;"VGO";"Fuel Oils";"DPP";"2016-05-14";"2016-06-04";"Malaysia";"Australia"
"Maersk Tokyo";318710;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-02-09";NA;"United Arab Emirates";NA
"Navig8 Gallantry";129840;"FO";"Fuel Oils";"DPP";"2018-11-21";"2018-11-26";"Russian Federation";"Croatia"
"Bunga Kelana 3";157264;"crude";"crude/co";"Dirty";"2017-02-04";"2017-03-05";"United States";"Mexico"
"Harmony Chemist";531910;"crude";"crude/co";"Dirty";"2017-03-17";"2017-04-02";"United Kingdom";"Sweden"
"Houston Star";902499;"crude";"crude/co";"Dirty";"2020-03-26";"2020-04-15";"Iraq";"China"
"Iver Prosperity";695313;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2018-09-13";NA;"China";NA
"Pantanassa";500316;"crude";"crude/co";"Dirty";"2017-12-22";"2017-12-25";"Angola";"South Africa"
"Petion";164686;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-09-15";"2016-10-06";"Belgium";"United States"
"Afra Hawthorn";1037372;"Clean Condensate";"Blendings";"Light Ends";"2019-08-17";"2019-08-24";"United States";"Ecuador"
"Dan Sabia";32650;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2016-02-02";"2016-02-21";"United Kingdom";"United States"
"Brasil 2014";676921;"Jet";"Kero/Jet";"Middle Distillates";"2019-08-09";NA;"Brazil";NA
"Great Eastern";635390;"crude";"crude/co";"Dirty";"2013-08-24";NA;"Malaysia";NA
"Cabo Froward";122462;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-04-22";"2020-04-27";"Saudi Arabia";"Taiwan"
"New Wisdom";511141;"crude";"crude/co";"Dirty";"2019-10-17";"2019-10-30";"Belgium";"Nigeria"
"Scf Pearl";75861;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2017-12-29";"2018-01-04";"Saudi Arabia";"South Korea"
"Lian Ping Hu";382558;"crude";"crude/co";"Dirty";"2019-04-13";"2019-04-30";"South Korea";"Singapore Republic"
"Yoselin";753311;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2019-01-16";"2019-02-01";"Mexico";"United States"
"Sao Luiz";345404;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-09-18";NA;"India";NA
"Maran Corona";173051;"crude";"crude/co";"Dirty";"2019-12-31";"2020-01-11";"Russian Federation";"China"
"Dynasty";621458;"Jet";"Kero/Jet";"Middle Distillates";"2017-08-25";"2017-09-24";"United Arab Emirates";"Japan"
"Glifa";66866;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2020-05-31";"2020-06-01";"China";"South Africa"
"Seaexplorer";305244;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-02-04";"2013-02-10";"United States";"Belgium"
"Maria Grace";42795;NA;"Gasoline/Naphtha";"Light Ends";"2017-07-17";"2017-08-03";"United States";"Mexico"
"Advantage Pretty";511128;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2020-02-23";"2020-02-25";"Russian Federation";"France"
"Atlantik Pride";107524;"crude";"crude/co";"Dirty";"2019-05-28";"2019-07-10";"Qatar";"Netherlands"
"Torm Amalie";274109;"Jet";"Kero/Jet";"Middle Distillates";"2019-12-05";"2019-12-09";"Turkey";"Italy"
"Sestrea";325497;NA;"Gasoil/Diesel";"Middle Distillates";"2020-04-20";"2020-05-19";"Latvia";"Estonia"
"Afrodite";598274;"crude";"crude/co";"Dirty";"2019-08-17";"2019-09-14";"Equatorial Guinea";"Brazil"
"Nordic Rio";518770;"crude";"crude/co";"Dirty";"2018-02-08";"2018-02-22";"United States";"Mexico"
"Primorye";116323;NA;"Gasoline/Naphtha";"Light Ends";"2014-05-26";"2014-06-06";"Saudi Arabia";"South Korea"
"Brenton Reef";569995;"Naphtha";"Gasoline/Naphtha";"Light Ends";"2018-11-06";"2018-11-15";"United States";"United States"
"Amundsen Spirit";232075;"FO";"Fuel Oils";"DPP";"2015-12-29";"2016-01-02";"India";"India"
"Vl Brilliant";73075;"crude";"crude/co";"Dirty";"2019-04-15";"2019-05-13";"Netherlands";"Ghana"
"Estefania H";165679;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2013-08-08";"2013-09-27";"United States";"Brazil"
"Suvretta";419681;"Diesel";"Gasoil/Diesel";"Middle Distillates";"2016-09-26";"2016-10-14";"China";"Indonesia"
"Alabama Star";518248;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2018-03-24";"2018-04-08";"India";"Spain"
"Nordmars";83302;"crude";"crude/co";"Dirty";"2016-01-07";"2016-01-21";"Brazil";"Brazil"
"Humanity";26794;"Gasoil";"Gasoil/Diesel";"Middle Distillates";"2019-10-04";"2019-10-28";"Brazil";"Brazil"
"Seamusic";611640;"crude";"crude/co";"Dirty";"2017-07-04";"2017-07-10";"United Arab Emirates";"Japan"
"Boyaca";599997;"crude";"crude/co";"Dirty";"2020-08-03";"2020-08-04";"South Korea";"Australia"
"Seaking";474465;"crude";"crude/co";"Dirty";"2017-04-14";NA;"United Arab Emirates";NA
"Fso Benchamas 2";81;"FO";"Fuel Oils";"DPP";"2014-07-08";"2014-07-16";"Saudi Arabia";"Thailand"
"Minerva Astra";567133;"VGO";"Fuel Oils";"DPP";"2017-09-21";"2017-09-27";"Venezuela";"Germany"
"Mariner A";11642;"Gasoline";"Gasoline/Naphtha";"Light Ends";"2019-10-30";"2019-11-04";"Libya";"Greece"
"Paramaconi";1043454;"crude";"crude/co";"Dirty";"2017-09-08";"2017-11-04";"Saudi Arabia";"Japan"
